shipment_id,supplier_code,sku,hs_declared,hs_master,product_name,region,destination_port,order_date,etd_shipped,eta_planned,ata_arrival,customs_cleared,warehouse_receipt,unit_price_usd,fob_total_usd,freight_usd,insurance_usd,customs_value_usd,duty_igi_mxn,dta_mxn,iva_mxn,broker_fee_mxn,drayage_mxn,demurrage_mxn,storage_mxn,days_against_plan,total_lead_days,landed_cost_mxn,cost_per_unit_mxn,category,origin_port
IMP-2023-0001,SUP-1011,SKU-106,8458110100,8458110100,CNC Turning Centre TC-106,East China,Manzanillo,2023-01-02,2023-04-06,2023-05-18,2023-05-18,2023-05-20,2023-05-23,90704.25,544225.5,9386.05,2817.3,556428.85,1012962.03,81036.96,1795779.08,7063.45,60064.23,0.0,0.0,0.0,141.0,11290746.955595002,1881791.1592658337,CNC lathe,Shanghai
IMP-2023-0002,SUP-1002,SKU-106,8458110100,8458110100,CNC Turning Centre TC-106,South China,"Manzanillo, Colima",2023-01-02,2023-04-08,2023-05-26,2023-05-26,2023-05-31,2023-06-01,87635.07,175270.14,0.0,778.46,181514.83,330442.3,26435.38,585808.11,8411.14,32647.23,0.0,0.0,0.0,150.0,3602847.9984199996,1801423.9992099998,CNC lathe,Shekou
IMP-2023-0003,SUP-1013,SKU-111,8456110100,8456110100,Fibre Laser Cutting Machine FL-111,East China,Manzanillo,2023-01-03,2023-03-17,2023-04-26,2023-04-26,2023-05-04,2023-05-05,45470.74,136412.22,8144.91,674.21,145231.34,264743.66,21179.49,469337.56,6418.7,34404.32,0.0,0.0,0.0,122.0,2974182.7899939995,991394.2633313332,Laser cutting machine,Shanghai
IMP-2023-0004,SUP-1003,SKU-113,8456110100,8456110100,Fibre Laser Cutting Machine FL-113,South China,Manzanillo,2023-01-03,2023-04-10,2023-05-21,2023-05-21,2023-05-25,2023-05-27,58562.05,234248.2,6701.65,1150.5,242100.35,440736.42,35258.91,781337.53,7543.46,43689.52,0.0,0.0,0.0,144.0,4934592.5516449995,1233648.1379112499,Laser cutting machine,Nansha
IMP-2023-0005,SUP-1009,SKU-131,8462910100,8462910100,Hydraulic Press HP-131,East China,Manzanillo,2023-01-04,2023-04-06,2023-05-18,2023-05-18,2023-05-25,2023-05-26,75144.98,75144.98,0.0,0.0,81903.89,149103.57,11928.29,264330.82,6338.94,21822.56,0.0,0.0,0.0,142.0,1557185.177406,1557185.177406,Hydraulic press,Ningbo-Zhoushan
IMP-2023-0006,SUP-1014,SKU-122,8414809900,8414809900,Screw Air Compressor SAC-122,East China,Manzanillo,2023-01-04,2023-04-21,2023-06-01,2023-06-01,2023-06-06,2023-06-08,24426.35,73279.05,8959.55,328.29,82566.89,223211.74,11904.63,275711.15,6589.73,35966.96,0.0,0.0,0.0,155.0,1765751.348403,588583.782801,Air compressor,Nantong
IMP-2023-0007,SUP-1013,SKU-120,8479500100,8479500100,6-Axis Industrial Robot IR-120,East China,Manzanillo,2023-01-05,2023-04-09,2023-05-25,2023-05-25,2023-05-30,2023-05-31,61911.93,61911.93,0.0,208.83,67066.6,61046.37,9767.42,206678.58,6660.54,19585.8,0.0,0.0,0.0,146.0,1227949.9295720002,1227949.9295720002,Industrial robot,Shanghai
IMP-2023-0008,SUP-1010,SKU-110,8456110100,8456110100,Fibre Laser Cutting Machine FL-110,East China,Manzanillo,2023-01-06,2023-03-07,2023-04-22,2023-04-22,2023-04-26,2023-04-30,19380.53,19380.53,7454.95,104.52,26940.0,49109.2,3928.74,87060.78,7623.74,26247.72,0.0,0.0,0.0,114.0,578001.3539999999,578001.3539999999,Laser cutting machine,Taizhou
IMP-2023-0009,SUP-1014,SKU-105,8457100100,8457100100,CNC Vertical Machining Centre VMC-105,East China,Veracruz,2023-01-06,2023-03-26,2023-05-12,2023-05-12,2023-05-14,2023-05-18,159520.94,319041.88,0.0,1538.59,320580.47,583607.13,46688.57,1034618.72,7198.41,77148.53,0.0,0.0,0.0,132.0,6550713.922209,3275356.9611045,CNC machining centre,Nantong
IMP-2023-0010,SUP-1005,SKU-138,8428330100,8428330100,Modular Belt Conveyor CV-138,South China,Manzanillo,2023-01-07,2023-03-27,2023-05-08,2023-05-13,2023-05-17,2023-05-17,11794.38,47177.52,10234.51,0.0,57575.63,104814.71,8385.18,185815.51,5243.82,40463.27,0.0,0.0,5.0,130.0,1204075.762541,301018.94063525,Conveyor system,Shekou
