month,usd_mxn,usd_cny,source_note
2023-01,18.8265,6.8726,"Synthetic monthly average, generated for this exercise"
2023-02,18.7185,6.8975,"Synthetic monthly average, generated for this exercise"
2023-03,18.4916,6.9291,"Synthetic monthly average, generated for this exercise"
2023-04,18.2291,6.9193,"Synthetic monthly average, generated for this exercise"
2023-05,1.0,6.9836,"Synthetic monthly average, generated for this exercise"
2023-06,18.0227,6.9902,"Synthetic monthly average, generated for this exercise"
2023-07,17.9723,7.0203,"Synthetic monthly average, generated for this exercise"
2023-08,17.7694,7.0599,"Synthetic monthly average, generated for this exercise"
2023-09,17.6102,7.0109,"Synthetic monthly average, generated for this exercise"
2023-10,17.3523,7.0485,"Synthetic monthly average, generated for this exercise"
2023-11,17.2903,7.0969,"Synthetic monthly average, generated for this exercise"
2023-12,16.8716,7.0446,"Synthetic monthly average, generated for this exercise"
2024-01,17.3177,7.1045,"Synthetic monthly average, generated for this exercise"
2024-02,17.476,7.132,"Synthetic monthly average, generated for this exercise"
2024-04,18.0128,7.1906,"Synthetic monthly average, generated for this exercise"
2024-05,18.142,7.2238,"Synthetic monthly average, generated for this exercise"
2024-06,18.4027,7.2258,"Synthetic monthly average, generated for this exercise"
2024-07,18.6453,7.2389,"Synthetic monthly average, generated for this exercise"
2024-08,19.0527,7.2261,"Synthetic monthly average, generated for this exercise"
2024-08,17.812,7.2261,"Synthetic monthly average, generated for this exercise"
2024-09,19.3771,7.2331,"Synthetic monthly average, generated for this exercise"
2024-10,19.8048,7.1383,"Synthetic monthly average, generated for this exercise"
2024-11,20.0159,7.1063,"Synthetic monthly average, generated for this exercise"
2024-12,20.4443,7.0912,"Synthetic monthly average, generated for this exercise"
2025-01,20.3866,7.1005,"Synthetic monthly average, generated for this exercise"
2025-02,19.7417,7.1593,"Synthetic monthly average, generated for this exercise"
2025-03,19.8636,7.14,"Synthetic monthly average, generated for this exercise"
2025-04,19.5645,7.1539,"Synthetic monthly average, generated for this exercise"
2025-05,19.1358,7.1876,"Synthetic monthly average, generated for this exercise"
2025-06,19.0422,7.2041,"Synthetic monthly average, generated for this exercise"
2025-08,19.0082,7.14,"Synthetic monthly average, generated for this exercise"
2025-09,18.709,7.1238,"Synthetic monthly average, generated for this exercise"
2025-10,18.5564,7.1125,"Synthetic monthly average, generated for this exercise"
2025-11,18.555,7.0906,"Synthetic monthly average, generated for this exercise"
2025-12,18.4212,7.0471,"Synthetic monthly average, generated for this exercise"
2026-01,18.3894,7.074,"Synthetic monthly average, generated for this exercise"
2026-02,18.5479,7.0736,"Synthetic monthly average, generated for this exercise"
2026-03,18.5311,7.0845,"Synthetic monthly average, generated for this exercise"
2026-04,18.4923,7.0878,"Synthetic monthly average, generated for this exercise"
2026-05,18.633,7.0892,"Synthetic monthly average, generated for this exercise"
2026-06,18.8403,7.0853,"Synthetic monthly average, generated for this exercise"
2026-07,18.6656,7.1106,"Synthetic monthly average, generated for this exercise"
2026-08,18.7714,7.1453,"Synthetic monthly average, generated for this exercise"
2026-09,18.7435,7.1233,"Synthetic monthly average, generated for this exercise"
