sku,product_name,category,hs_code,unit_net_weight_kg,unit_volume_cbm,primary_supplier_id,list_price_usd,country_of_origin
SKU-101,CNC Vertical Machining Centre VMC-101,CNC machining centre,8457.10.01.00,8542.5,30.55,SUP-1006,168210.0,China
SKU-102,CNC Vertical Machining Centre VMC-102,CNC machining centre,8457.10.01.00,15063.7,20.54,SUP-1002,103440.0,China
SKU-103,CNC Vertical Machining Centre VMC-103,CNC machining centre,8457.10.01.00,18341.2,17.97,SUP-1012,178910.0,China
SKU-104,CNC Vertical Machining Centre VMC-104,CNC machining centre,8457.10.01.00,8636.7,29.09,SUP-1014,161740.0,China
SKU-105,CNC Vertical Machining Centre VMC-105,CNC machining centre,8457.10.01.00,14233.9,14.7,SUP-1014,172720.0,China
SKU-106,CNC Turning Centre TC-106,CNC lathe,8458.11.01.00,13327.3,17.36,SUP-1002,92360.0,China
SKU-107,CNC Turning Centre TC-107,CNC lathe,8458.11.01.00,10542.4,13.56,SUP-1002,47600.0,China
SKU-108,CNC Turning Centre TC-108,CNC lathe,8458.11.01.00,11219.2,11.68,SUP-1012,117940.0,China
SKU-109,CNC Turning Centre TC-109,CNC lathe,8458.11.01.00,13407.2,,SUP-1013,85900.0,China
SKU-110,Fibre Laser Cutting Machine FL-110,Laser cutting machine,8456.11.01.00,4689.9,11.34,SUP-1010,20170.0,China
SKU-111,Fibre Laser Cutting Machine FL-111,Laser cutting machine,8456.11.01.00,1856.0,,SUP-1001,48070.0,China
SKU-112,Fibre Laser Cutting Machine FL-112,Laser cutting machine,8456.11.01.00,2143.6,7.57,SUP-1008,73430.0,China
SKU-113,Fibre Laser Cutting Machine FL-113,Laser cutting machine,8456.11.01.00,3195.7,18.32,SUP-1003,65360.0,China
SKU-114,Injection Moulding Machine IMM-114,Injection moulding machine,8477.10.01.00,13106.2,27.54,SUP-1001,72300.0,China
SKU-115,Injection Moulding Machine IMM-115,Injection moulding machine,8477.10.01.00,4563.0,19.12,SUP-1011,45350.0,China
SKU-116,Injection Moulding Machine IMM-116,Injection moulding machine,8477.10.01.00,6421.4,10.42,SUP-1014,89300.0,China
SKU-117,Injection Moulding Machine IMM-117,Injection moulding machine,8477.10.01.00,11584.0,16.67,SUP-1013,35170.0,China
SKU-118,Injection Moulding Machine IMM-118,Injection moulding machine,8477.10.01.00,6672.8,12.64,SUP-1014,30520.0,China
SKU-119,6-Axis Industrial Robot IR-119,Industrial robot,8479.50.01.00,2488.3,3.61,SUP-1006,51970.0,China
SKU-120,6-Axis Industrial Robot IR-120,Industrial robot,8479.50.01.00,2182.8,3.12,SUP-1013,62980.0,China
SKU-121,6-Axis Industrial Robot IR-121,Industrial robot,8479.50.01.00,2365.9,8.46,SUP-1001,67160.0,China
