shipment_id,po_number,invoice_number,supplier_id,sku,order_date,etd_shipped,eta_planned,ata_arrival,customs_cleared,warehouse_receipt,carrier,vessel_voyage,incoterm,container_type,origin_port,destination_port,quantity,unit_price_usd,fob_total_usd,freight_usd,insurance_usd,net_weight_kg,gross_weight_kg,volume_cbm,hs_code,customs_value_usd,duty_igi_mxn,dta_mxn,iva_mxn,broker_fee_mxn,drayage_mxn,demurrage_mxn,storage_mxn,fx_rate_applied,qc_units_rejected,qc_inspection_notes,country_of_origin
IMP-2023-0001,PO-202301-001,INV-1011-202301-0001,SUP-1011,SKU-106,2023-01-02,2023-04-06,2023-05-18,2023-05-18,2023-05-20,2023-05-23,COSCO Shipping Lines,MSC PALOMA 600W,DDP,40GP,Shanghai,Manzanillo,6,"90,704.25",544225.50,9386.05,2817.3,79963.8,88721.0,107.33,8458110100,556428.85,1012962.03,81036.96,1795779.08,7063.45,60064.23,,,18.2047,0,Sin observaciones durante la inspección,China
IMP-2023-0002,PO-202301-002,INV-1002-202301-0001,SUP-1002,SKU-106,2023-01-02,2023-04-08,2023-05-26,2023-05-26,2023-05-31,2023-06-01,Ocean Network Express,MSC PALOMA 647W,FOB,40GP,Shekou,"Manzanillo, Colima",2,87635.07,"$175,270.14",,778.46,26654.6,30375.6,33.07,8458110100,181514.83,"MXN 330,442.30",26435.38,585808.11,8411.14,32647.23,0.0,0.0,18.2047,,,China
IMP-2023-0003,PO-202301-003,INV-1013-202301-0001,SUP-1013,SKU-111,2023-01-03,2023-03-17,2023-04-26,2023-04-26,2023-05-04,2023-05-05,COSCO Shipping Lines,YM WELLNESS 551E,FOB,40GP,Shanghai,Manzanillo,3,45470.74,136412.22,8144.91,674.21,5568.0,6333.5,48.29,8456110100,145231.34,264743.66,21179.49,469337.56,6418.7,34404.32,0.0,0.0,18.2291,,,China
IMP-2023-0004,PO-202301-004,INV-1003-202301-0001,SUP-1003,SKU-113,2023-01-03,2023-04-10,2023-05-21,2023-05-21,2023-05-25,2023-05-27,Yang Ming Marine Transport,COSCO VEGA 147E,FOB,40GP,Nansha,Manzanillo,4,58562.05,"$234,248.20",6701.65,1150.5,12782.8,14240.1,71.31,8456110100,242100.35,"MXN 440,736.42",35258.91,781337.53,7543.46,43689.52,0.0,0.0,18.2047,0,No issues found on inspection,China
IMP-2023-0005,PO-202301-005,INV-1009-202301-0001,SUP-1009,SKU-131,2023-01-04,2023-04-06,2023-05-18,2023-05-18,2023-05-25,2023-05-26,Maersk,YM WELLNESS 569E,EXW,40HC,Ningbo-Zhoushan,Manzanillo,1,"75,144.98","$75,144.98",,,22577.7,24851.8,25.49,8462910100,81903.89,149103.57,11928.29,264330.82,6338.94,21822.56,0.0,0.0,18.2047,,,China
IMP-2023-0006,PO-202301-006,INV-1014-202301-0001,SUP-1014,SKU-122,04/01/2023,21/04/2023,01/06/2023,01/06/2023,06/06/2023,08/06/2023,Maersk,COSCO ARIES 280W,FOB,20GP,Nantong,Manzanillo,3,24426.35,"$73,279.05",8959.55,328.29,3882.6,4369.9,12.02,8414809900,82566.89,223211.74,11904.63,275711.15,6589.73,35966.96,0.0,0.0,18.0227,,,China
IMP-2023-0007,PO-202301-007,INV-1013-202301-0002,SUP-1013,SKU-120,2023-01-05,2023-04-09,2023-05-25,2023-05-25,2023-05-30,2023-05-31,cosco shipping lines,MSC ANZU 841E,FOB,20GP,Shanghai,Manzanillo,1,61911.93,"$61,911.93",,208.83,2182.8,2501.8,3.16,8479500100,67066.6,61046.37,9767.42,206678.58,6660.54,19585.8,0.0,0.0,18.2047,0,Sin observaciones durante la inspección,China
IMP-2023-0008,PO-202301-008,INV-1010-202301-0001,SUP-1010,SKU-110,2023-01-06,2023-03-07,2023-04-22,2023-04-22,2023-04-26,2023-04-30,Ocean Network Express,MSC ANZU 729W,DDP,20GP,Taizhou,Manzanillo,1,19380.53,"$19,380.53",7454.95,104.52,4689.9,5270.3,10.88,8456110100,26940.0,49109.2,3928.74,87060.78,7623.74,26247.72,,0.0,18.2291,,,China
IMP-2023-0009,PO-202301-009,INV-1014-202301-0002,SUP-1014,SKU-105,2023-01-06,2023-03-26,2023-05-12,2023-05-12,2023-05-14,2023-05-18,Evergreen Marine,MAERSK ESSEX 470W,CIF,40GP,Nantong,Veracruz,2,159520.94,319041.88,0.0,1538.59,28467.8,31468.1,27.37,8457100100,320580.47,583607.13,46688.57,1034618.72,7198.41,77148.53,0.0,0.0,18.2047,,,China
IMP-2023-0010,PO-202301-010,INV-1005-202301-0001,SUP-1005,SKU-138,07/01/2023,27/03/2023,08/05/2023,13/05/2023,17/05/2023,17/05/2023,COSCO Shipping Lines,MSC ANZU 212E,FOB,20GP,Shekou,Manzanillo,4,11794.38,"$47,177.52",10234.51,,21014.8,23810.0,47.71,8428330100,57575.63,104814.71,8385.18,185815.51,5243.82,40463.27,,0.0,18.2047,,,China
